 8161   # of boundary nodes
 6332 1 1 1 1
 6338 1 1 1 1
 6339 1 1 1 1
 6362 1 1 1 1
 6369 1 1 1 1
 6371 1 1 1 1
 6373 1 1 1 1
 6425 1 1 1 1
 6426 1 1 1 1
 6427 1 1 1 1
 6428 1 1 1 1
 6429 1 1 1 1
 6430 1 1 1 1
 6478 1 1 1 1
 6481 1 1 1 1
 6484 1 1 1 1
 6486 1 1 1 1
 6487 1 1 1 1
 6488 1 1 1 1
 6513 1 1 1 1
 6516 1 1 1 1
 6518 1 1 1 1
 6519 1 1 1 1
 6521 1 1 1 1
 6524 1 1 1 1
 6525 1 1 1 1
 6567 1 1 1 1
 6573 1 1 1 1
 6575 1 1 1 1
 6576 1 1 1 1
 6577 1 1 1 1
 6587 1 1 1 1
 6591 2 2 2 2
 6593 2 2 2 2
 6594 2 2 2 2
 6595 2 2 2 2
 6603 2 2 2 2
 6606 2 2 2 2
 6609 2 2 2 2
 6610 2 2 2 2
 6639 2 2 2 2
 6649 2 2 2 2
 6651 2 2 2 2
 6654 2 2 2 2
 6656 2 2 2 2
 6657 2 2 2 2
 6689 2 2 2 2
 6897 2 2 2 2
 6898 2 2 2 2
 6899 2 2 2 2
 6900 2 2 2 2
 6909 2 2 2 2
 6910 2 2 2 2
 6912 2 2 2 2
 7043 2 2 2 2
 7044 2 2 2 2
 7045 2 2 2 2
 7046 2 2 2 2
 7047 2 2 2 2
 7051 2 2 2 2
 7053 2 2 2 2
 7057 2 2 2 2
 7058 2 2 2 2
 7103 2 2 2 2
 7104 2 2 2 2
 7108 2 2 2 2
 7117 2 2 2 2
 7118 2 2 2 2
 7119 2 2 2 2
 7120 2 2 2 2
 7121 2 2 2 2
 7122 2 2 2 2
 7123 2 2 2 2
 7125 2 2 2 2
 7126 2 2 2 2
 7127 2 2 2 2
 7129 2 2 2 2
 7134 2 2 2 2
 7135 2 2 2 2
 7137 2 2 2 2
 7138 2 2 2 2
 7243 1 1 1 1
 7246 1 1 1 1
 7253 1 1 1 1
 7256 1 1 1 1
 7298 1 1 1 1
 7299 1 1 1 1
 7306 1 1 1 1
 7312 1 1 1 1
 7313 1 1 1 1
 7314 1 1 1 1
 7353 1 1 1 1
 7355 1 1 1 1
 7358 1 1 1 1
 7359 1 1 1 1
 7441 1 1 1 1
 7442 1 1 1 1
 7443 1 1 1 1
 7659 2 2 2 2
 7661 2 2 2 2
 7662 2 2 2 2
 7710 2 2 2 2
 7711 2 2 2 2
 7712 2 2 2 2
 7715 2 2 2 2
 7717 2 2 2 2
 7722 2 2 2 2
 7723 2 2 2 2
 7728 1 1 1 1
 7736 1 1 1 1
 7737 1 1 1 1
 7822 1 1 1 1
 7830 1 1 1 1
 7831 1 1 1 1
 7832 1 1 1 1
 7840 1 1 1 1
 7841 2 2 2 2
 7842 2 2 2 2
 7843 2 2 2 2
 7844 2 2 2 2
 7845 2 2 2 2
 7846 2 2 2 2
 7848 2 2 2 2
 7849 2 2 2 2
 7850 2 2 2 2
 7852 2 2 2 2
 7853 2 2 2 2
 7855 2 2 2 2
 7856 2 2 2 2
 7857 2 2 2 2
 7861 2 2 2 2
 7880 2 2 2 2
 7894 2 2 2 2
 7895 2 2 2 2
 7897 2 2 2 2
 7898 2 2 2 2
 7899 2 2 2 2
 7901 2 2 2 2
 7903 2 2 2 2
 7905 2 2 2 2
 7911 2 2 2 2
 7912 2 2 2 2
 8226 2 2 2 2
 8227 2 2 2 2
 8228 2 2 2 2
 8229 2 2 2 2
 8230 2 2 2 2
 8231 2 2 2 2
 8234 2 2 2 2
 8236 2 2 2 2
 8237 2 2 2 2
 8238 2 2 2 2
 8239 2 2 2 2
 8242 2 2 2 2
 8243 2 2 2 2
 8245 2 2 2 2
 8246 2 2 2 2
 8247 2 2 2 2
 8248 2 2 2 2
 8257 2 2 2 2
 8258 2 2 2 2
 8263 2 2 2 2
 8264 2 2 2 2
 8265 2 2 2 2
 8266 2 2 2 2
 8267 2 2 2 2
 8268 2 2 2 2
 8273 2 2 2 2
 8274 2 2 2 2
 8275 2 2 2 2
 8276 2 2 2 2
 8277 2 2 2 2
 8299 2 2 2 2
 8300 2 2 2 2
 8301 2 2 2 2
 8302 2 2 2 2
 8303 2 2 2 2
 8304 2 2 2 2
 8311 2 2 2 2
 8312 2 2 2 2
 8313 2 2 2 2
 8314 2 2 2 2
 8316 2 2 2 2
 8317 2 2 2 2
 8318 2 2 2 2
 8319 2 2 2 2
 8321 2 2 2 2
 8322 2 2 2 2
 8323 2 2 2 2
 8324 2 2 2 2
 8336 2 2 2 2
 8337 2 2 2 2
 8338 2 2 2 2
 8339 2 2 2 2
 8340 2 2 2 2
 8341 2 2 2 2
 8342 2 2 2 2
 8343 2 2 2 2
 8344 2 2 2 2
 8347 2 2 2 2
 8348 2 2 2 2
 8385 2 2 2 2
 8386 2 2 2 2
 8387 2 2 2 2
 8388 2 2 2 2
 8389 2 2 2 2
 8392 2 2 2 2
 8393 2 2 2 2
 8394 2 2 2 2
 8416 1 1 1 1
 8418 1 1 1 1
 8419 1 1 1 1
 8420 1 1 1 1
 8422 1 1 1 1
 8444 1 1 1 1
 8445 1 1 1 1
 8447 1 1 1 1
 8448 1 1 1 1
 8449 1 1 1 1
 8469 1 1 1 1
 8481 2 2 2 2
 8482 2 2 2 2
 8483 2 2 2 2
 8484 2 2 2 2
 8485 2 2 2 2
 8486 2 2 2 2
 8487 2 2 2 2
 8488 2 2 2 2
 8489 2 2 2 2
 8490 2 2 2 2
 8491 2 2 2 2
 8492 2 2 2 2
 8494 2 2 2 2
 8500 2 2 2 2
 8506 2 2 2 2
 8507 2 2 2 2
 8508 2 2 2 2
 8509 2 2 2 2
 8510 2 2 2 2
 8511 2 2 2 2
 8512 2 2 2 2
 8520 2 2 2 2
 8521 2 2 2 2
 8524 2 2 2 2
 8525 2 2 2 2
 8526 2 2 2 2
 8528 2 2 2 2
 8529 2 2 2 2
 8530 2 2 2 2
 8531 2 2 2 2
 8532 2 2 2 2
 8533 2 2 2 2
 8534 2 2 2 2
 8535 2 2 2 2
 8540 2 2 2 2
 8541 2 2 2 2
 8549 2 2 2 2
 8551 2 2 2 2
 8552 2 2 2 2
 8564 2 2 2 2
 8568 1 1 1 1
 8569 1 1 1 1
 8570 1 1 1 1
 8575 1 1 1 1
 8585 1 1 1 1
 8588 1 1 1 1
 8590 1 1 1 1
 8593 1 1 1 1
 8594 1 1 1 1
 8674 1 1 1 1
 8679 2 2 2 2
 8680 2 2 2 2
 8682 2 2 2 2
 8683 2 2 2 2
 8684 2 2 2 2
 8685 2 2 2 2
 8686 2 2 2 2
 8687 2 2 2 2
 8688 2 2 2 2
 8689 2 2 2 2
 8690 2 2 2 2
 8692 2 2 2 2
 8693 2 2 2 2
 8694 2 2 2 2
 8695 2 2 2 2
 8696 2 2 2 2
 8697 2 2 2 2
 8698 2 2 2 2
 8699 2 2 2 2
 8700 2 2 2 2
 8701 2 2 2 2
 8702 2 2 2 2
 8703 2 2 2 2
 8704 2 2 2 2
 8707 2 2 2 2
 8709 1 1 1 1
 8722 1 1 1 1
 9082 2 2 2 2
 9083 2 2 2 2
 9084 2 2 2 2
 9086 2 2 2 2
 9087 2 2 2 2
 9088 2 2 2 2
 9090 2 2 2 2
 9091 2 2 2 2
 9093 2 2 2 2
 9094 2 2 2 2
 9187 2 2 2 2
 9188 2 2 2 2
 9189 2 2 2 2
 9190 2 2 2 2
 9191 2 2 2 2
 9192 2 2 2 2
 9203 2 2 2 2
 9211 2 2 2 2
 9212 2 2 2 2
 9213 2 2 2 2
 9228 1 1 1 1
 9231 1 1 1 1
 9247 1 1 1 1
 9248 1 1 1 1
 9249 1 1 1 1
 9253 1 1 1 1
 9254 1 1 1 1
 9257 1 1 1 1
 9258 1 1 1 1
 9260 1 1 1 1
 9281 1 1 1 1
 9283 1 1 1 1
 9290 1 1 1 1
 9291 1 1 1 1
 9292 1 1 1 1
 9293 1 1 1 1
 9300 1 1 1 1
 9355 1 1 1 1
 9356 1 1 1 1
 9358 1 1 1 1
 9359 1 1 1 1
 9360 1 1 1 1
 9362 1 1 1 1
 9363 1 1 1 1
 9364 1 1 1 1
 9365 1 1 1 1
 9429 1 1 1 1
 9435 1 1 1 1
 9438 1 1 1 1
 9439 1 1 1 1
 9464 1 1 1 1
 9465 1 1 1 1
 9469 1 1 1 1
 9470 1 1 1 1
 9471 1 1 1 1
 9472 1 1 1 1
 9474 1 1 1 1
 9478 1 1 1 1
 9479 1 1 1 1
 9480 1 1 1 1
 9481 1 1 1 1
 9533 1 1 1 1
 9534 1 1 1 1
 9535 1 1 1 1
 9536 1 1 1 1
 9552 1 1 1 1
 9553 2 2 2 2
 9554 2 2 2 2
 9556 2 2 2 2
 9560 2 2 2 2
 9562 2 2 2 2
 9565 2 2 2 2
 9567 2 2 2 2
 9572 2 2 2 2
 9573 2 2 2 2
 9574 2 2 2 2
 9581 2 2 2 2
 9582 2 2 2 2
 9603 2 2 2 2
 9608 2 2 2 2
 9621 2 2 2 2
 9622 2 2 2 2
 9625 2 2 2 2
 9626 2 2 2 2
 9674 2 2 2 2
 9675 2 2 2 2
 9853 1 1 1 1
 9892 1 1 1 1
 9913 2 2 2 2
 9914 2 2 2 2
 9915 2 2 2 2
 9916 2 2 2 2
 9917 2 2 2 2
 9918 2 2 2 2
 9919 2 2 2 2
 9920 2 2 2 2
 9921 2 2 2 2
 9923 2 2 2 2
 9924 2 2 2 2
 9925 2 2 2 2
 9926 2 2 2 2
 9927 2 2 2 2
 9928 2 2 2 2
 9929 2 2 2 2
 9932 2 2 2 2
 9933 2 2 2 2
 9934 2 2 2 2
 9935 2 2 2 2
 9936 2 2 2 2
 9937 2 2 2 2
 9938 2 2 2 2
 9939 2 2 2 2
 9940 2 2 2 2
 9941 2 2 2 2
 9945 2 2 2 2
 9946 2 2 2 2
 9947 2 2 2 2
 9948 2 2 2 2
 9950 2 2 2 2
 9951 2 2 2 2
 9952 2 2 2 2
 9954 2 2 2 2
 9955 2 2 2 2
 9956 2 2 2 2
 9957 2 2 2 2
 9964 2 2 2 2
 9965 2 2 2 2
 9970 2 2 2 2
 9971 2 2 2 2
 9981 2 2 2 2
 10159 2 2 2 2
 10160 2 2 2 2
 10163 2 2 2 2
 10165 2 2 2 2
 10379 1 1 1 1
 10380 1 1 1 1
 10383 1 1 1 1
 10393 1 1 1 1
 10434 1 1 1 1
 10440 1 1 1 1
 10441 1 1 1 1
 10442 1 1 1 1
 10443 1 1 1 1
 10477 1 1 1 1
 10480 1 1 1 1
 10483 1 1 1 1
 10484 1 1 1 1
 10485 1 1 1 1
 10486 1 1 1 1
 10572 1 1 1 1
 10573 1 1 1 1
 10869 1 1 1 1
 10870 1 1 1 1
 10875 1 1 1 1
 10949 1 1 1 1
 10961 1 1 1 1
 10962 1 1 1 1
 10963 1 1 1 1
 10974 1 1 1 1
 10975 1 1 1 1
 10976 1 1 1 1
 10997 2 2 2 2
 10998 2 2 2 2
 10999 2 2 2 2
 11000 2 2 2 2
 11001 2 2 2 2
 11002 2 2 2 2
 11003 2 2 2 2
 11030 2 2 2 2
 11031 2 2 2 2
 11036 2 2 2 2
 11038 2 2 2 2
 11045 2 2 2 2
 11046 2 2 2 2
 11052 2 2 2 2
 11054 2 2 2 2
 11061 2 2 2 2
 11062 2 2 2 2
 11068 2 2 2 2
 11072 2 2 2 2
 11074 2 2 2 2
 11420 2 2 2 2
 11421 2 2 2 2
 11422 2 2 2 2
 11423 2 2 2 2
 11424 2 2 2 2
 11425 2 2 2 2
 11426 2 2 2 2
 11427 2 2 2 2
 11428 2 2 2 2
 11429 2 2 2 2
 11431 2 2 2 2
 11439 2 2 2 2
 11440 2 2 2 2
 11444 2 2 2 2
 11446 2 2 2 2
 11447 2 2 2 2
 11449 2 2 2 2
 11450 2 2 2 2
 11454 2 2 2 2
 11502 2 2 2 2
 11505 2 2 2 2
 11560 2 2 2 2
 11561 2 2 2 2
 11591 2 2 2 2
 11592 2 2 2 2
 11593 2 2 2 2
 11594 2 2 2 2
 11595 2 2 2 2
 11596 2 2 2 2
 11598 2 2 2 2
 11600 2 2 2 2
 11601 2 2 2 2
 11602 2 2 2 2
 11603 2 2 2 2
 11604 2 2 2 2
 11605 2 2 2 2
 11606 2 2 2 2
 11607 2 2 2 2
 11609 2 2 2 2
 11610 2 2 2 2
 11611 2 2 2 2
 11689 1 1 1 1
 11690 1 1 1 1
 11691 1 1 1 1
 11692 1 1 1 1
 11693 1 1 1 1
 11694 1 1 1 1
 11725 1 1 1 1
 11727 1 1 1 1
 11728 1 1 1 1
 11729 1 1 1 1
 11731 1 1 1 1
 11745 1 1 1 1
 11761 2 2 2 2
 11772 2 2 2 2
 11868 1 1 1 1
 11869 1 1 1 1
 11870 1 1 1 1
 11872 1 1 1 1
 11873 1 1 1 1
 11874 1 1 1 1
 11875 1 1 1 1
 11883 1 1 1 1
 11888 1 1 1 1
 11889 1 1 1 1
 11890 1 1 1 1
 11898 1 1 1 1
 11902 1 1 1 1
 11907 1 1 1 1
 11908 1 1 1 1
 11996 1 1 1 1
 11997 1 1 1 1
 12041 2 2 2 2
 12042 2 2 2 2
 12044 2 2 2 2
 12046 2 2 2 2
 12047 2 2 2 2
 12048 2 2 2 2
 12050 2 2 2 2
 12051 2 2 2 2
 12052 2 2 2 2
 12053 2 2 2 2
 12054 2 2 2 2
 12055 2 2 2 2
 12056 2 2 2 2
 12059 2 2 2 2
 12060 2 2 2 2
 12061 2 2 2 2
 12062 2 2 2 2
 12063 2 2 2 2
 12064 2 2 2 2
 12066 2 2 2 2
 12067 2 2 2 2
 12068 2 2 2 2
 12069 2 2 2 2
 12070 2 2 2 2
 12071 2 2 2 2
 12072 2 2 2 2
 12073 2 2 2 2
 12074 2 2 2 2
 12075 2 2 2 2
 12076 2 2 2 2
 12077 2 2 2 2
 12078 2 2 2 2
 12079 2 2 2 2
 12080 2 2 2 2
 12081 2 2 2 2
 12082 2 2 2 2
 12083 2 2 2 2
 12084 2 2 2 2
 12085 2 2 2 2
 12086 2 2 2 2
 12087 2 2 2 2
 12088 2 2 2 2
 12089 2 2 2 2
 12091 2 2 2 2
 12092 2 2 2 2
 12093 2 2 2 2
 12105 1 1 1 1
 12696 1 1 1 1
 12707 1 1 1 1
 12708 1 1 1 1
 12712 1 1 1 1
 12714 1 1 1 1
 12715 1 1 1 1
 12716 1 1 1 1
 12719 1 1 1 1
 12733 1 1 1 1
 12735 1 1 1 1
 12740 1 1 1 1
 12747 1 1 1 1
 12754 1 1 1 1
 12755 1 1 1 1
 12765 1 1 1 1
 12766 1 1 1 1
 12831 1 1 1 1
 12832 1 1 1 1
 12833 1 1 1 1
 12835 1 1 1 1
 12837 1 1 1 1
 12839 1 1 1 1
 12840 1 1 1 1
 12908 1 1 1 1
 12918 1 1 1 1
 12946 1 1 1 1
 12951 1 1 1 1
 12952 1 1 1 1
 12953 1 1 1 1
 12957 1 1 1 1
 12960 1 1 1 1
 12961 1 1 1 1
 12962 1 1 1 1
 12963 1 1 1 1
 13021 1 1 1 1
 13022 1 1 1 1
 13024 1 1 1 1
 13025 1 1 1 1
 13026 1 1 1 1
 13041 2 2 2 2
 13042 2 2 2 2
 13043 2 2 2 2
 13044 2 2 2 2
 13046 2 2 2 2
 13047 2 2 2 2
 13049 2 2 2 2
 13051 2 2 2 2
 13056 2 2 2 2
 13058 2 2 2 2
 13062 2 2 2 2
 13064 2 2 2 2
 13067 2 2 2 2
 13069 2 2 2 2
 13070 2 2 2 2
 13080 2 2 2 2
 13084 2 2 2 2
 13092 2 2 2 2
 13109 2 2 2 2
 13111 2 2 2 2
 13143 2 2 2 2
 13144 2 2 2 2
 13146 2 2 2 2
 13207 2 2 2 2
 13208 2 2 2 2
 13243 2 2 2 2
 13434 1 1 1 1
 13476 1 1 1 1
 13507 1 1 1 1
 13508 1 1 1 1
 13509 1 1 1 1
 13520 2 2 2 2
 13521 2 2 2 2
 13522 2 2 2 2
 13523 2 2 2 2
 13524 2 2 2 2
 13525 2 2 2 2
 13526 2 2 2 2
 13527 2 2 2 2
 13576 2 2 2 2
 13603 2 2 2 2
 13604 2 2 2 2
 13605 2 2 2 2
 13606 2 2 2 2
 13608 2 2 2 2
 13610 2 2 2 2
 14095 1 1 1 1
 14097 1 1 1 1
 14098 1 1 1 1
 14132 1 1 1 1
 14133 1 1 1 1
 14138 1 1 1 1
 14144 1 1 1 1
 14147 1 1 1 1
 14187 1 1 1 1
 14188 1 1 1 1
 14190 1 1 1 1
 14191 1 1 1 1
 14192 1 1 1 1
 14193 1 1 1 1
 14194 1 1 1 1
 14278 1 1 1 1
 14280 1 1 1 1
 14583 1 1 1 1
 14586 1 1 1 1
 14593 1 1 1 1
 14594 1 1 1 1
 14674 1 1 1 1
 14676 1 1 1 1
 14691 1 1 1 1
 14692 1 1 1 1
 14699 1 1 1 1
 14700 1 1 1 1
 14701 1 1 1 1
 14736 2 2 2 2
 14740 2 2 2 2
 14743 2 2 2 2
 14744 2 2 2 2
 14745 2 2 2 2
 14746 2 2 2 2
 14749 2 2 2 2
 14750 2 2 2 2
 14751 2 2 2 2
 14752 2 2 2 2
 14754 2 2 2 2
 14755 2 2 2 2
 14780 2 2 2 2
 14784 2 2 2 2
 14785 2 2 2 2
 14788 2 2 2 2
 14789 2 2 2 2
 14799 2 2 2 2
 14800 2 2 2 2
 14805 2 2 2 2
 14806 2 2 2 2
 14817 2 2 2 2
 14818 2 2 2 2
 14819 2 2 2 2
 14832 2 2 2 2
 15166 2 2 2 2
 15190 2 2 2 2
 15191 2 2 2 2
 15192 2 2 2 2
 15193 2 2 2 2
 15194 2 2 2 2
 15352 2 2 2 2
 15366 2 2 2 2
 15380 2 2 2 2
 15400 2 2 2 2
 15505 1 1 1 1
 15506 1 1 1 1
 15507 1 1 1 1
 15529 1 1 1 1
 15544 1 1 1 1
 15545 1 1 1 1
 15548 1 1 1 1
 15549 1 1 1 1
 15564 1 1 1 1
 15688 1 1 1 1
 15692 1 1 1 1
 15694 1 1 1 1
 15695 1 1 1 1
 15696 1 1 1 1
 15700 1 1 1 1
 15701 1 1 1 1
 15713 1 1 1 1
 15714 1 1 1 1
 15715 1 1 1 1
 15721 1 1 1 1
 15726 1 1 1 1
 15736 1 1 1 1
 15739 1 1 1 1
 15842 1 1 1 1
 15848 1 1 1 1
 15849 1 1 1 1
 15850 1 1 1 1
 15889 2 2 2 2
 15890 2 2 2 2
 15891 2 2 2 2
 15892 2 2 2 2
 15893 2 2 2 2
 15894 2 2 2 2
 15895 2 2 2 2
 15896 2 2 2 2
 15898 2 2 2 2
 15899 2 2 2 2
 15900 2 2 2 2
 15901 2 2 2 2
 15902 2 2 2 2
 15903 2 2 2 2
 15904 2 2 2 2
 15905 2 2 2 2
 15906 2 2 2 2
 15907 2 2 2 2
 15908 2 2 2 2
 15909 2 2 2 2
 15975 2 2 2 2
 15976 2 2 2 2
 16047 1 1 1 1
 16048 1 1 1 1
 16602 1 1 1 1
 16609 1 1 1 1
 16610 1 1 1 1
 16612 1 1 1 1
 16631 1 1 1 1
 16632 1 1 1 1
 16633 1 1 1 1
 16637 1 1 1 1
 16638 1 1 1 1
 16639 1 1 1 1
 16642 1 1 1 1
 16656 1 1 1 1
 16665 1 1 1 1
 16666 1 1 1 1
 16667 1 1 1 1
 16682 1 1 1 1
 16683 1 1 1 1
 16736 1 1 1 1
 16737 1 1 1 1
 16740 1 1 1 1
 16741 1 1 1 1
 16745 1 1 1 1
 16746 1 1 1 1
 16747 1 1 1 1
 16750 1 1 1 1
 16752 1 1 1 1
 16753 1 1 1 1
 16827 1 1 1 1
 16874 1 1 1 1
 16875 1 1 1 1
 16879 1 1 1 1
 16882 1 1 1 1
 16883 1 1 1 1
 16885 1 1 1 1
 16886 1 1 1 1
 16940 1 1 1 1
 16941 1 1 1 1
 16942 1 1 1 1
 16943 1 1 1 1
 16954 1 1 1 1
 16960 2 2 2 2
 16963 2 2 2 2
 16964 2 2 2 2
 16967 2 2 2 2
 16968 2 2 2 2
 16969 2 2 2 2
 16970 2 2 2 2
 16971 2 2 2 2
 16972 2 2 2 2
 16977 2 2 2 2
 16978 2 2 2 2
 16979 2 2 2 2
 16994 2 2 2 2
 16996 2 2 2 2
 16998 2 2 2 2
 16999 2 2 2 2
 17000 2 2 2 2
 17002 2 2 2 2
 17005 2 2 2 2
 17030 2 2 2 2
 17031 2 2 2 2
 17042 2 2 2 2
 17050 2 2 2 2
 17059 2 2 2 2
 17060 2 2 2 2
 17061 2 2 2 2
 17113 2 2 2 2
 17115 2 2 2 2
 17172 2 2 2 2
 17173 2 2 2 2
 17228 2 2 2 2
 17229 2 2 2 2
 17230 2 2 2 2
 17473 1 1 1 1
 17514 1 1 1 1
 18217 1 1 1 1
 18220 1 1 1 1
 18221 1 1 1 1
 18254 1 1 1 1
 18255 1 1 1 1
 18258 1 1 1 1
 18262 1 1 1 1
 18264 1 1 1 1
 18265 1 1 1 1
 18316 1 1 1 1
 18317 1 1 1 1
 18318 1 1 1 1
 18320 1 1 1 1
 18321 1 1 1 1
 18323 1 1 1 1
 18325 1 1 1 1
 18326 1 1 1 1
 18698 1 1 1 1
 18710 1 1 1 1
 18711 1 1 1 1
 18786 1 1 1 1
 18787 1 1 1 1
 18801 1 1 1 1
 18803 1 1 1 1
 18806 1 1 1 1
 18807 1 1 1 1
 18808 1 1 1 1
 18863 2 2 2 2
 18866 2 2 2 2
 18868 2 2 2 2
 18869 2 2 2 2
 18871 2 2 2 2
 18872 2 2 2 2
 18879 2 2 2 2
 18882 2 2 2 2
 18885 2 2 2 2
 18906 2 2 2 2
 18909 2 2 2 2
 18910 2 2 2 2
 18912 2 2 2 2
 18913 2 2 2 2
 18926 2 2 2 2
 18929 2 2 2 2
 18930 2 2 2 2
 18942 2 2 2 2
 18944 2 2 2 2
 18945 2 2 2 2
 18966 2 2 2 2
 18969 2 2 2 2
 19306 1 1 1 1
 19710 1 1 1 1
 19728 1 1 1 1
 19729 1 1 1 1
 19746 1 1 1 1
 19749 1 1 1 1
 19750 1 1 1 1
 19752 1 1 1 1
 19754 1 1 1 1
 19755 1 1 1 1
 19904 1 1 1 1
 19905 1 1 1 1
 19910 1 1 1 1
 19911 1 1 1 1
 19912 1 1 1 1
 19917 1 1 1 1
 19918 1 1 1 1
 19934 1 1 1 1
 19935 1 1 1 1
 19937 1 1 1 1
 19950 1 1 1 1
 19951 1 1 1 1
 19967 1 1 1 1
 19968 1 1 1 1
 19971 1 1 1 1
 19977 1 1 1 1
 20064 1 1 1 1
 20073 1 1 1 1
 20075 1 1 1 1
 20076 1 1 1 1
 20139 2 2 2 2
 20140 2 2 2 2
 20228 2 2 2 2
 20229 2 2 2 2
 20230 2 2 2 2
 20326 1 1 1 1
 20334 1 1 1 1
 20335 1 1 1 1
 20914 1 1 1 1
 20919 1 1 1 1
 20920 1 1 1 1
 20926 1 1 1 1
 20948 1 1 1 1
 20949 1 1 1 1
 20951 1 1 1 1
 20954 1 1 1 1
 20964 1 1 1 1
 20971 1 1 1 1
 20972 1 1 1 1
 20973 1 1 1 1
 20984 1 1 1 1
 20985 1 1 1 1
 21001 1 1 1 1
 21002 1 1 1 1
 21003 1 1 1 1
 21037 1 1 1 1
 21042 1 1 1 1
 21045 1 1 1 1
 21052 1 1 1 1
 21053 1 1 1 1
 21054 1 1 1 1
 21058 1 1 1 1
 21059 1 1 1 1
 21060 1 1 1 1
 21174 1 1 1 1
 21177 1 1 1 1
 21180 1 1 1 1
 21183 1 1 1 1
 21184 1 1 1 1
 21185 1 1 1 1
 21186 1 1 1 1
 21230 1 1 1 1
 21231 1 1 1 1
 21233 1 1 1 1
 21237 1 1 1 1
 21238 1 1 1 1
 21254 2 2 2 2
 21259 2 2 2 2
 21260 2 2 2 2
 21265 2 2 2 2
 21267 2 2 2 2
 21270 2 2 2 2
 21271 2 2 2 2
 21273 2 2 2 2
 21274 2 2 2 2
 21276 2 2 2 2
 21278 2 2 2 2
 21279 2 2 2 2
 21302 2 2 2 2
 21306 2 2 2 2
 21307 2 2 2 2
 21308 2 2 2 2
 21309 2 2 2 2
 21314 2 2 2 2
 21315 2 2 2 2
 21348 2 2 2 2
 21352 2 2 2 2
 21353 2 2 2 2
 21372 2 2 2 2
 21379 2 2 2 2
 21381 2 2 2 2
 21384 2 2 2 2
 21385 2 2 2 2
 21460 2 2 2 2
 21461 2 2 2 2
 21463 2 2 2 2
 21487 2 2 2 2
 21528 2 2 2 2
 21529 2 2 2 2
 21530 2 2 2 2
 21531 2 2 2 2
 21610 2 2 2 2
 21611 2 2 2 2
 21623 2 2 2 2
 22005 1 1 1 1
 22710 1 1 1 1
 22721 1 1 1 1
 22747 1 1 1 1
 22748 1 1 1 1
 22750 1 1 1 1
 22755 1 1 1 1
 22758 1 1 1 1
 22759 1 1 1 1
 22760 1 1 1 1
 22792 1 1 1 1
 22802 1 1 1 1
 22804 1 1 1 1
 22807 1 1 1 1
 22808 1 1 1 1
 22811 1 1 1 1
 22812 1 1 1 1
 23192 1 1 1 1
 23193 1 1 1 1
 23255 1 1 1 1
 23256 1 1 1 1
 23257 1 1 1 1
 23269 1 1 1 1
 23276 1 1 1 1
 23277 1 1 1 1
 23278 1 1 1 1
 23279 1 1 1 1
 23349 2 2 2 2
 23350 2 2 2 2
 23351 2 2 2 2
 23352 2 2 2 2
 23361 2 2 2 2
 23363 2 2 2 2
 23366 2 2 2 2
 23369 2 2 2 2
 23374 2 2 2 2
 23387 2 2 2 2
 23388 2 2 2 2
 23389 2 2 2 2
 23390 2 2 2 2
 23391 2 2 2 2
 23408 2 2 2 2
 23427 2 2 2 2
 23429 2 2 2 2
 23430 2 2 2 2
 23462 2 2 2 2
 23464 2 2 2 2
 23467 2 2 2 2
 23810 1 1 1 1
 23823 1 1 1 1
 24274 1 1 1 1
 24275 1 1 1 1
 24282 1 1 1 1
 24307 1 1 1 1
 24309 1 1 1 1
 24311 1 1 1 1
 24312 1 1 1 1
 24317 1 1 1 1
 24318 1 1 1 1
 24338 1 1 1 1
 24463 1 1 1 1
 24468 1 1 1 1
 24469 1 1 1 1
 24470 1 1 1 1
 24471 1 1 1 1
 24475 1 1 1 1
 24499 1 1 1 1
 24513 1 1 1 1
 24514 1 1 1 1
 24535 1 1 1 1
 24543 1 1 1 1
 24626 1 1 1 1
 24633 1 1 1 1
 24639 1 1 1 1
 24642 1 1 1 1
 24643 1 1 1 1
 24644 1 1 1 1
 24821 2 2 2 2
 24827 2 2 2 2
 24828 2 2 2 2
 24956 1 1 1 1
 24957 1 1 1 1
 24966 1 1 1 1
 25520 1 1 1 1
 25522 1 1 1 1
 25523 1 1 1 1
 25534 1 1 1 1
 25553 1 1 1 1
 25554 1 1 1 1
 25556 1 1 1 1
 25558 1 1 1 1
 25560 1 1 1 1
 25569 1 1 1 1
 25572 1 1 1 1
 25575 1 1 1 1
 25576 1 1 1 1
 25589 1 1 1 1
 25590 1 1 1 1
 25595 1 1 1 1
 25596 1 1 1 1
 25597 1 1 1 1
 25615 1 1 1 1
 25616 1 1 1 1
 25617 1 1 1 1
 25618 1 1 1 1
 25653 1 1 1 1
 25655 1 1 1 1
 25658 1 1 1 1
 25665 1 1 1 1
 25667 1 1 1 1
 25673 1 1 1 1
 25674 1 1 1 1
 25675 1 1 1 1
 25678 1 1 1 1
 25788 1 1 1 1
 25792 1 1 1 1
 25794 1 1 1 1
 25796 1 1 1 1
 25797 1 1 1 1
 25823 1 1 1 1
 25824 1 1 1 1
 25832 1 1 1 1
 25834 1 1 1 1
 25837 1 1 1 1
 25840 1 1 1 1
 25841 1 1 1 1
 25876 2 2 2 2
 25881 2 2 2 2
 25884 2 2 2 2
 25888 2 2 2 2
 25889 2 2 2 2
