 2119
 1 2 4 3 1
 1 4 5 3 1
 1 5 6 3 1
 1 4 8 5 1
 6 5 9 3 1
 6 9 11 3 1
 9 10 6 11 1
 12 4 2 3 1
 12 2 11 3 1
 11 13 2 12 1
 11 2 13 14 1
 2 15 13 14 1
 15 17 16 19 1
 21 20 17 22 1
 25 26 27 28 1
 4 30 8 5 1
 4 3 30 5 1
 11 3 9 30 1
 12 3 11 30 1
 4 8 30 12 1
 9 3 5 30 1
 4 30 3 12 1
 8 9 5 30 1
 8 12 33 30 1
 6 10 7 42 1
 10 42 6 11 1
 7 43 25 41 1
 7 42 10 44 1
 7 10 43 44 1
 7 43 41 44 1
 7 41 42 44 1
 10 42 45 44 1
 9 45 11 30 1
 9 10 11 45 1
 42 11 10 45 1
 46 45 9 30 1
 8 33 32 46 1
 8 46 9 30 1
 8 33 46 30 1
 43 10 47 44 1
 46 47 9 45 1
 47 45 10 9 1
 47 10 45 44 1
 42 48 18 50 1
 45 44 42 50 1
 42 11 45 50 1
 42 18 11 50 1
 11 51 13 12 1
 11 13 51 14 1
 11 18 14 51 1
 12 31 51 13 1
 11 51 12 30 1
 33 12 51 30 1
 11 45 51 30 1
 33 51 12 31 1
 51 45 11 50 1
 18 51 11 50 1
 13 14 52 51 1
 31 16 52 13 1
 13 52 14 15 1
 14 51 18 52 1
 14 18 19 52 1
 15 19 16 52 1
 15 14 19 52 1
 15 16 13 52 1
 31 52 51 13 1
 18 53 19 52 1
 39 38 31 54 1
 31 51 52 54 1
 55 39 31 54 1
 55 52 31 16 1
 55 31 52 54 1
 55 56 52 16 1
 55 16 49 56 1
 55 52 56 54 1
 20 16 56 49 1
 19 16 52 57 1
 19 22 17 57 1
 20 17 22 57 1
 16 56 52 57 1
 17 20 16 57 1
 17 16 19 57 1
 20 56 16 57 1
 52 56 58 57 1
 18 59 53 52 1
 18 51 59 52 1
 48 59 18 50 1
 18 59 51 50 1
 18 48 60 59 1
 18 60 53 59 1
 62 22 19 57 1
 19 62 52 53 1
 19 52 62 57 1
 62 52 58 57 1
 24 64 21 23 1
 21 64 63 23 1
 21 20 22 65 1
 21 23 63 65 1
 22 65 20 57 1
 49 20 63 65 1
 21 22 23 65 1
 21 63 20 65 1
 58 56 65 57 1
 20 56 65 49 1
 20 65 56 57 1
 24 64 23 66 1
 24 67 64 66 1
 62 68 22 57 1
 23 68 65 22 1
 68 65 22 57 1
 63 23 64 69 1
 23 66 64 69 1
 23 65 68 69 1
 63 65 23 69 1
 71 23 68 69 1
 24 23 71 66 1
 71 66 23 69 1
 68 70 72 69 1
 68 72 71 69 1
 25 26 75 40 1
 25 75 43 40 1
 25 43 75 41 1
 25 75 26 28 1
 28 75 41 25 1
 74 48 41 76 1
 28 74 41 76 1
 28 41 75 76 1
 77 26 40 75 1
 29 27 78 79 1
 27 26 77 80 1
 27 77 78 80 1
 27 28 26 80 1
 26 80 28 75 1
 77 80 26 75 1
 28 80 74 76 1
 28 75 80 76 1
 81 74 28 80 1
 27 81 78 79 1
 27 81 28 80 1
 27 78 81 80 1
 29 79 78 82 1
 29 84 79 82 1
 29 78 87 82 1
 34 36 88 89 1
 32 36 34 89 1
 33 90 51 31 1
 33 31 38 90 1
 51 31 90 54 1
 46 90 45 30 1
 51 90 45 50 1
 45 90 51 30 1
 33 51 90 30 1
 38 90 31 54 1
 33 90 46 30 1
 32 89 46 91 1
 32 46 33 91 1
 32 33 36 91 1
 32 36 89 91 1
 33 46 90 91 1
 36 89 91 92 1
 33 38 36 92 1
 33 36 91 92 1
 36 88 89 92 1
 33 91 90 92 1
 33 90 38 92 1
 93 46 89 91 1
 34 88 37 95 1
 34 89 88 95 1
 34 37 97 95 1
 34 97 89 95 1
 96 89 97 95 1
 34 37 100 97 1
 35 100 101 99 1
 35 99 101 102 1
 35 103 99 102 1
 35 101 105 102 1
 36 106 88 92 1
 38 106 36 92 1
 100 37 107 97 1
 107 37 88 111 1
 97 37 111 95 1
 37 88 111 95 1
 107 97 37 111 1
 38 90 113 92 1
 38 113 106 92 1
 112 108 39 113 1
 38 108 106 113 1
 39 108 38 113 1
 112 55 115 39 1
 39 38 115 113 1
 55 115 39 54 1
 115 38 90 113 1
 39 115 38 54 1
 112 39 115 113 1
 38 115 90 54 1
 51 116 90 50 1
 116 51 59 50 1
 116 51 90 54 1
 116 90 115 54 1
 77 40 117 75 1
 117 40 43 75 1
 85 117 119 120 1
 77 80 75 120 1
 77 75 117 120 1
 77 117 85 120 1
 47 117 43 121 1
 47 45 121 44 1
 43 121 41 44 1
 117 43 121 75 1
 41 75 121 43 1
 41 48 42 121 1
 121 44 45 50 1
 43 47 121 44 1
 41 121 42 44 1
 41 121 75 76 1
 47 118 117 121 1
 121 42 44 50 1
 42 121 48 50 1
 48 121 41 76 1
 117 75 121 120 1
 47 93 118 122 1
 47 46 93 122 1
 45 122 121 50 1
 122 90 46 91 1
 47 45 46 122 1
 47 121 45 122 1
 122 90 116 50 1
 45 90 122 50 1
 47 118 121 122 1
 122 46 90 45 1
 93 122 46 91 1
 48 123 121 76 1
 123 48 50 59 1
 60 59 48 123 1
 123 50 48 121 1
 73 60 124 123 1
 124 60 48 123 1
 74 124 48 76 1
 124 123 48 76 1
 109 126 49 127 1
 49 63 109 127 1
 49 63 127 65 1
 49 65 127 56 1
 127 65 58 56 1
 126 128 127 109 1
 128 129 67 109 1
 55 110 112 131 1
 130 110 126 131 1
 49 56 127 131 1
 49 110 55 131 1
 110 49 126 131 1
 126 49 127 131 1
 49 55 56 131 1
 123 50 132 59 1
 116 132 122 50 1
 59 132 116 50 1
 123 132 50 121 1
 121 122 132 50 1
 58 52 133 56 1
 51 133 59 52 1
 116 59 51 133 1
 115 133 116 54 1
 116 59 133 132 1
 52 54 133 56 1
 51 116 133 54 1
 133 52 51 54 1
 60 134 53 59 1
 58 133 52 134 1
 59 52 133 134 1
 58 52 62 134 1
 60 53 134 61 1
 53 52 59 134 1
 61 62 53 134 1
 62 52 53 134 1
 55 135 54 56 1
 112 115 55 135 1
 135 56 55 131 1
 55 112 135 131 1
 55 135 115 54 1
 133 54 135 56 1
 135 133 115 54 1
 59 132 123 136 1
 59 133 132 136 1
 59 134 133 136 1
 133 137 56 135 1
 133 137 134 58 1
 133 56 137 58 1
 135 56 131 137 1
 127 56 58 137 1
 127 131 56 137 1
 58 137 134 138 1
 62 57 58 138 1
 62 68 57 138 1
 62 58 134 138 1
 58 57 65 138 1
 138 58 127 65 1
 65 68 138 57 1
 138 127 58 137 1
 65 138 68 69 1
 68 70 69 138 1
 60 139 134 59 1
 139 134 59 136 1
 59 123 60 139 1
 60 134 139 61 1
 73 60 123 139 1
 59 123 139 136 1
 61 60 73 139 1
 62 140 134 61 1
 62 134 140 138 1
 61 139 140 134 1
 141 139 61 73 1
 141 61 139 140 1
 142 62 61 140 1
 142 61 141 140 1
 142 68 62 143 1
 62 140 143 138 1
 62 143 68 138 1
 142 62 140 143 1
 68 143 70 138 1
 67 109 63 144 1
 63 64 144 69 1
 63 144 65 69 1
 63 64 67 144 1
 109 127 63 144 1
 63 127 65 144 1
 66 144 64 69 1
 64 66 67 144 1
 128 67 144 109 1
 109 127 144 128 1
 145 65 127 144 1
 138 127 145 65 1
 65 69 145 138 1
 65 144 145 69 1
 138 145 127 137 1
 144 70 145 69 1
 143 145 70 138 1
 145 69 70 138 1
 146 144 66 69 1
 71 146 66 69 1
 66 146 67 144 1
 146 70 144 69 1
 128 144 67 147 1
 128 67 129 147 1
 67 146 147 144 1
 148 143 145 70 1
 146 148 144 70 1
 145 144 148 70 1
 70 149 148 143 1
 70 68 149 143 1
 142 149 68 143 1
 70 149 68 72 1
 70 149 150 148 1
 70 150 149 72 1
 71 72 150 151 1
 146 151 148 70 1
 70 151 150 72 1
 70 150 151 148 1
 71 151 146 69 1
 151 70 146 69 1
 72 151 71 69 1
 72 70 151 69 1
 152 124 123 73 1
 152 123 139 73 1
 141 73 152 139 1
 124 74 160 76 1
 83 125 74 160 1
 125 124 74 160 1
 83 74 81 160 1
 81 74 80 160 1
 124 160 123 76 1
 80 160 74 76 1
 161 75 121 76 1
 123 160 161 76 1
 121 75 161 120 1
 121 123 161 76 1
 161 75 80 120 1
 161 160 80 76 1
 161 80 75 76 1
 85 86 77 162 1
 77 162 80 120 1
 161 80 162 120 1
 77 85 162 120 1
 78 81 80 163 1
 77 80 162 163 1
 77 162 86 163 1
 77 86 78 163 1
 77 78 80 163 1
 87 78 86 163 1
 87 82 78 163 1
 78 79 81 163 1
 78 82 79 163 1
